,Année,RNE,Nom établissement,Localité,Département,Label,Position
880,2019,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
463,2019,0340048T,Collège Clémence Royer,Montpellier,34,1,"43.6153374834, 3.87603975368"
861,2019,0300036B,Collège Armand Coussens,Saint-Ambroix,30,2,"44.2591054169, 4.19778969588"
875,2019,0341870Y,Collège Marie Curie,Pignan,34,2,"43.5795881698, 3.76382057356"
901,2020,0340057C,Collège Antoine Fauré,Olonzac,34,2,"43.2819795951, 2.72991000174"
108,2020,0341277D,Collège les Aiguerelles,Montpellier,34,2,"43.5975367249, 3.89212977987"
493,2020,0301670C,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,2,"43.9446156949, 4.22176967663"
887,2020,0110026U,Collège Jules Ferry,Narbonne,11,2,"43.1789454566, 3.00081979452"
888,2020,0110068P,Collège Georges Brassens,Narbonne,11,2,"43.1861949153, 2.97425005916"
109,2020,0341278E,Collège Arthur Rimbaud,Montpellier,34,2,"43.6166769762, 3.82158973055"
894,2020,0301013N,Collège Jean Moulin,Alès,30,2,"44.13184497, 4.07762997317"
110,2020,0341364Y,Collège Gérard Philipe,Montpellier,34,2,"43.5973433958, 3.88440958533"
895,2020,0301098F,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159"
111,2020,0341388Z,Collège Marcel Pagnol,Sérignan,34,2,"43.2761956341, 3.27145043447"
318,2020,0341280G,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951"
112,2020,0341537L,Collège Frédéric Mistral,Pérols,34,2,"43.5612534507, 3.94976954923"
917,2020,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
918,2020,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
115,2020,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
919,2020,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
328,2020,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
678,2020,0110011C,Collège Blaise d'Auriol,Castelnaudary,11,1,"43.3163356798, 1.95829006889"
886,2020,0110003U,Collège de l'Alaric,Capendu,11,2,"43.1859084897, 2.56341995244"
91,2020,0110675Z,Collège Michel Bousquié,Quillan,11,2,"42.876164008, 2.17579041988"
897,2020,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
902,2020,0340062H,Collège Via Domitia,Poussan,34,2,"43.4861817938, 3.66554039336"
502,2020,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
900,2020,0340034C,Collège Roger Contrepas,Marsillargues,34,2,"43.6674224763, 4.17421008"
707,2020,0342326U,Collège Boby Lapointe,Roujan,34,3,"43.505481603, 3.31503938511"
485,2020,0300033Y,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929"
494,2020,0301671D,Collège Le Vignet,Calvisson,30,2,"43.7831648894, 4.20125983579"
500,2020,0341893Y,Collège Paul Émile Victor,Agde,34,2,"43.3022597724, 3.48527038242"
679,2020,0110025T,Collège Cité,Narbonne,11,3,"43.1871871048, 3.00827041122"
684,2020,0110810W,Collège de Grazailles,Carcassonne,11,3,"43.2243470524, 2.35215950467"
687,2020,0300025P,Collège Romain Rolland,Nîmes,30,3,"43.8446529432, 4.39021018203"
484,2020,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
688,2020,0300141R,Collège Condorcet,Nîmes,30,3,"43.8276608398, 4.33614977357"
496,2020,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
102,2020,0301827Y,Collège Fédérico Garcia Lorca,Bellegarde,30,2,"43.7507318849, 4.49710961267"
690,2020,0301010K,Collège Ada Lovelace,Nîmes,30,3,"43.8588460926, 4.39110910066"
696,2020,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
704,2020,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
487,2020,0300062E,Collège Capouchiné,Nîmes,30,2,"43.8224816364, 4.35695996915"
489,2020,0301214G,Collège du Mourion,Villeneuve-lès-Avignon,30,2,"43.9762220762, 4.78356042514"
905,2020,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
99,2020,0301012M,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229"
906,2020,0340998A,Collège Jeu de Mail,Montpellier,34,2,"43.6271574265, 3.86539973395"
907,2020,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
98,2020,0300055X,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,2,"44.1625564528, 4.61367940487"
92,2020,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
910,2020,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
689,2020,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
327,2020,0660037G,Collège Joffre,Rivesaltes,66,2,"42.767749446, 2.87938008707"
320,2020,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
317,2020,0340972X,Collège Victor Hugo,Sète,34,2,"43.4084449513, 3.70024943939"
96,2020,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,1,"43.9631396836, 3.85859982594"
95,2020,0300013B,Collège Le Castellas,Bessèges,30,1,"44.2934511404, 4.09540034382"
691,2020,0301208A,Collège Eugène Vigné,Beaucaire,30,1,"43.8104662202, 4.6377803152"
307,2020,0301232B,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108"
308,2020,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
313,2020,0340066M,Collège UPP Bédarieux,Saint-Gervais-sur-Mare,34,3,"43.6531951422, 3.04152960191"
316,2020,0340119V,Collège Ferdinand Fabre,Bédarieux,34,3,"43.6109247059, 3.15462945714"
694,2020,0340016H,Collège la Dullague,Béziers,34,1,"43.3426599739, 3.23330961701"
698,2020,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
695,2020,0340025T,Collège les Deux Pins,Frontignan,34,1,"43.4538921201, 3.75115012585"
705,2020,0342050U,Collège Françoise Giroud,Vendres,34,1,"43.2702388366, 3.23120964337"
331,2020,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
324,2020,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
323,2020,0480004U,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106"
321,2020,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
501,2020,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
709,2020,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
