,label,annee,localite,departement,nom_etablissement,position,rne,latitude,longitude
115,1,2018,Saint-Jean-du-Gard,030,Lycée professionnel Marie Curie,"[44.101103104, 3.88580322928]",0300041G,44.101103104,3.88580322928
116,1,2019,Saint-Jean-du-Gard,030,Lycée professionnel Marie Curie,"[44.101103104, 3.88580322928]",0300041G,44.101103104,3.88580322928
117,1,2019,Saint-Pons-de-Thomières,034,Lycée professionnel Jacques Brel,"[43.4878553819, 2.76470974603]",0340069R,43.4878553819,2.76470974603
118,2,2017,Sète,034,Lycée professionnel Irène et Frédéric Joliot Curie,"[43.3957215927, 3.66635038047]",0340088L,43.3957215927,3.66635038047
119,2,2018,Sète,034,Lycée professionnel Irène et Frédéric Joliot Curie,"[43.3957215927, 3.66635038047]",0340088L,43.3957215927,3.66635038047
120,2,2019,Sète,034,Lycée d'enseignement général Paul Valéry,"[43.4014167183, 3.69198953669]",0340075X,43.4014167183,3.69198953669
121,1,2021,Sète,034,Lycée professionnel Charles de Gaulle,"[43.4107073532, 3.68082056315]",0340078A,43.4107073532,3.68082056315
122,1,2018,Souillac,046,Lycée polyvalent des Métiers Louis Vicat,"[44.8948031813, 1.4814968311]",0460028F,44.8948031813,1.4814968311
123,2,2018,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007
124,3,2018,Toulouse,031,Lycée d'enseignement général Saint Sernin,"[43.6086892744, 1.44015057728]",0310041B,43.6086892744,1.44015057728
125,1,2018,Toulouse,031,Lycée professionnel Roland Garros,"[43.6295562041, 1.42869981778]",0310052N,43.6295562041,1.42869981778
126,1,2019,Toulouse,031,Lycée d'enseignement général Pierre de Fermat,"[43.6033277439, 1.44048705862]",0310036W,43.6033277439,1.44048705862
127,3,2019,Toulouse,031,Lycée polyvalent Raymond Nâves,"[43.6382628187, 1.46277984944]",0310040A,43.6382628187,1.46277984944
128,1,2019,Toulouse,031,Lycée professionnel Hélène Boucher,"[43.6135292772, 1.43390012746]",0310057U,43.6135292772,1.43390012746
