RNE,Année,Nom établissement,Localité,Département_dflabels,Label,Position,Rentrée scolaire,Académie,Code du département,Département_dfIPS,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
0660925X,2021,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE CHRISTIAN BOURQUIN,66108,MILLAS,public,102.8
0110015G,2021,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071",2021-2022,MONTPELLIER,011,AUDE,COLLEGE JEAN BAPTISTE BIEULES,11103,COUIZA,public,90.2
0110725D,2021,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655",2021-2022,MONTPELLIER,011,AUDE,COLLEGE LA NADIERE,11266,PORT LA NOUVELLE,public,89.8
0480001R,2021,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE HENRI ROUVIERE,48027,MONT LOZERE ET GOULET,public,105.5
0110810W,2021,Collège de Grazailles,Carcassonne,11,3,"43.2243470524, 2.35215950467",2021-2022,MONTPELLIER,011,AUDE,COLLEGE DE GRAZAILLES,11069,CARCASSONNE,public,87.7
0110721Z,2021,Collège Antoine Courrière,Cuxac-Cabardès,11,3,"43.3618712596, 2.26580041102",2021-2022,MONTPELLIER,011,AUDE,COLLEGE ANTOINE COURRIERE,11115,CUXAC CABARDES,public,108.3
0480015F,2021,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,3,"44.1664542311, 3.84200964175",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE ACHILLE ROUSSON,48148,SAINT ETIENNE VALLEE FRANCAISE,public,111.3
0660022R,2021,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE GUSTAVE VIOLET,66149,PRADES,public,100.2
0660521H,2021,Collège Pablo Casals,Cabestany,66,3,"42.6764094572, 2.94332002109",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE PAU CASALS,66028,CABESTANY,public,105.6
0480013D,2021,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE HAUT GEVAUDAN,48140,SAINT CHELY D APCHER,public,106.6
0660522J,2021,Collège Marcel Pagnol,Perpignan,66,3,"42.7121514378, 2.88187030741",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE MARCEL PAGNOL,66136,PERPIGNAN,public,60.6
0480004U,2021,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE MARTHE DUPEYRON,48080,LANGOGNE,public,109.5
0342076X,2021,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE DE LA PETITE CAMARGUE,34127,LANSARGUES,public,111.3
0340051W,2021,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FONTCARRADE,34172,MONTPELLIER,public,86.4
0301282F,2021,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325",2021-2022,MONTPELLIER,030,GARD,COLLEGE ELSA TRIOLET,30032,BEAUCAIRE,public,88.0
0300062E,2021,Collège Capouchiné,Nîmes,30,3,"43.8224816364, 4.35695996915",2021-2022,MONTPELLIER,030,GARD,COLLEGE CAPOUCHINE,30189,NIMES,public,78.1
0300031W,2021,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318",2021-2022,MONTPELLIER,030,GARD,COLLEGE GEORGE VILLE,30202,PONT SAINT ESPRIT,public,97.0
0300013B,2021,Collège Le Castellas,Bessèges,30,3,"44.2934511404, 4.09540034382",2021-2022,MONTPELLIER,030,GARD,COLLEGE LE CASTELLAS,30037,BESSEGES,public,84.2
0110026U,2021,Collège Jules Ferry,Narbonne,11,3,"43.1789454566, 3.00081979452",2021-2022,MONTPELLIER,011,AUDE,COLLEGE JULES FERRY,11262,NARBONNE,public,94.1
0110011C,2021,Collège Blaise d'Auriol,Castelnaudary,11,3,"43.3163356798, 1.95829006889",2021-2022,MONTPELLIER,011,AUDE,COLLEGE BLAISE D AURIOL,11076,CASTELNAUDARY,public,104.2
0340955D,2021,Collège Simone Veil,Montpellier,34,3,"43.6180403594, 3.84792979907",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE SIMONE VEIL,34172,MONTPELLIER,public,75.8
0300929X,2021,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265",2021-2022,MONTPELLIER,030,GARD,COLLEGE DU MONT DUPLAN,30189,NIMES,public,101.7
0301721H,2021,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441",2021-2022,MONTPELLIER,030,GARD,COLLEGE JEAN LOUIS TRINTIGNANT,30334,UZES,public,108.2
0301013N,2021,Collège Jean Moulin,Alès,30,3,"44.13184497, 4.07762997317",2021-2022,MONTPELLIER,030,GARD,COLLEGE JEAN MOULIN,30007,ALES,public,73.6
0660431K,2021,Collège Le Riberal,Saint-Estève,66,3,"42.7086982816, 2.83931047208",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE LE RIBERAL,66172,SAINT ESTEVE,public,101.6
0660008A,2021,Collège Pierre Fouché,Ille-sur-Têt,66,3,"42.6674347127, 2.61739054467",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE PIERRE FOUCHE,66088,ILLE SUR TET,public,98.8
0480017H,2021,Collège Odilon Barrot,Villefort,48,3,"44.4409467285, 3.92705994902",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE ODILON BARROT,48198,VILLEFORT,public,99.0
0480006W,2021,Collège Sport Nature,La Canourgue,48,3,"44.4304664308, 3.21929027799",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE SPORT NATURE,48034,LA CANOURGUE,public,118.2
0480005V,2021,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE MARCEL PIERREL,48092,MARVEJOLS,public,110.6
0341705U,2021,Collège Alain Savary,Saint-Mathieu-de-Tréviers,34,3,"43.7625738486, 3.86340969268",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE ALAIN SAVARY,34276,SAINT MATHIEU DE TREVIERS,public,122.7
0340008Z,2021,Collège Victor Hugo,Bessan,34,3,"43.3632534598, 3.42253958791",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE VICTOR HUGO,34031,BESSAN,public,89.2
