Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2017;0110823K;Lycée professionnel Charles Cros;Carcassonne;011;1;43.2280069456, 2.34109986391
2018;0110004V;Lycée d'enseignement général et technologique Paul Sabatier;Carcassonne;011;1;43.2223162974, 2.34610956966
2019;0110669T;Lycée d'enseignement général et technologique Agricole Charlemagne;Carcassonne;011;1;43.19726073310008, 2.3549407165561864
2021;0110004V;Lycée d'enseignement général et technologique Paul Sabatier;Carcassonne;011;1;43.2223162974, 2.34610956966
2021;0110669T;Lycée d'enseignement général et technologique Agricole de Carcassonne;Carcassonne;011;1;43.1973021491, 2.35494025455
2018;0810012Y;Lycée polyvalent Jean Jaurès;Carmaux;081;1;44.049078435, 2.14076962798
2019;0810012Y;Lycée polyvalent Jean Jaurès;Carmaux;081;1;44.049078435, 2.14076962798
2019;0311262D;Lycée d'enseignement général et technologique Legta de Toulouse Auzeville;Castanet-Tolosan;031;1;43.535064697265625, 1.4846115112304688
2021;0311262D;Lycée d'enseignement général et technologique Agricole de Toulouse;Castanet-Tolosan;031;2;43.5334240657, 1.48619945494
2018;0110012D;Lycée polyvalent Germaine Tillion;Castelnaudary;011;1;43.3173394011, 1.94886950416
2019;0341921D;Lycée polyvalent Georges Pompidou;Castelnau-le-Lez;034;1;43.6489487886, 3.91989057062
2021;0341001D;Lycée professionnel de Castelnau Le Lez;Castelnau-le-Lez;034;1;43.6306171329, 3.89955954828
2017;0810018E;Lycée professionnel Anne Veaute;Castres;081;1;43.6024716659, 2.2347406107
2021;0810016C;Lycée professionnel Le Sidobre;Castres;081;1;43.5959446493, 2.23629971146
2018;0660004W;Lycée polyvalent Déodat de Séverac;Céret;066;1;42.4848304468, 2.75355995201
2019;0340023R;Lycée d'enseignement général et technologique René Gosse;Clermont-l'Hérault;034;3;43.6261906228, 3.43196950024
2019;0312093G;Lycée d'enseignement général et technologique International Victor Hugo;Colomiers;031;2;43.6159163683, 1.30821054004
2021;0311092U;Lycée professionnel Éugène Montel;Colomiers;031;1;43.6096162379, 1.35074839365
2017;0090003E;Lycée professionnel Jean Durroux;Ferrières-sur-Ariège;009;1;42.9490109341, 1.61791016016
2018;0460010L;Lycée d'enseignement général et technologique des Métiers Champollion;Figeac;046;1;44.6088987897, 2.0274603131
2019;0460032K;Lycée professionnel Champollion;Figeac;046;1;44.6082998232, 2.02732948373
2018;0090002D;Lycée d'enseignement général et technologique Gabriel Fauré;Foix;009;1;42.9619671209, 1.6049297132
2018;0660057D;Lycée climatique Pierre de Coubertin;Font-Romeu-Odeillo-Via;066;1;42.5136521775, 2.04424977172
2021;0660057D;Lycée climatique Pierre de Coubertin;Font-Romeu-Odeillo-Via;066;1;42.5136521775, 2.04424977172
2019;0312696M;Lycée d'enseignement général Pierre Bourdieu;Fronton;031;1;43.8346592142, 1.40358949545
2021;0312696M;Lycée d'enseignement général Pierre Bourdieu;Fronton;031;1;43.8346592142, 1.40358949545
2019;0310017A;Lycée polyvalent des Métiers Paul Mathou;Gourdan-Polignan;031;1;43.0767218792, 0.583750202386
2018;0810995S;Lycée professionnel Docteur Clément de Pemille;Graulhet;081;1;43.7653960604, 1.99608948763
2018;0650012K;Lycée d'enseignement général Michelet;Lannemezan;065;2;43.1267811543, 0.386690372778
2021;0341794R;Lycée polyvalent Jean François Champollion;Lattes;034;1;43.5862763487, 3.93126992944
2018;0090006H;Lycée professionnel Joseph Marie Jacquard;Lavelanet;009;1;42.9210527456, 1.84102035978
2017;0300052U;Lycée polyvalent André Chamson;Le Vigan;030;1;43.9896196067, 3.60113045243
2019;0320015T;Lycée polyvalent Maréchal Lannes;Lectoure;032;2;43.9309034481, 0.629310333132
2018;0111048E;Lycée polyvalent Érnest Ferroul;Lézignan-Corbières;011;1;43.1817404504, 2.75881965271
2021;0110019L;Lycée polyvalent Jacques Ruffié;Limoux;011;1;43.0508087482, 2.2194301731
2019;0320036R;Lycée d'enseignement général Joseph Saverne;L'Isle-Jourdain;032;1;43.6128620627, 1.08492003203
2021;0340028W;Lycée polyvalent Joseph Vallot;Lodève;034;3;43.7309746362, 3.31485059789
2018;0650040R;Lycée d'enseignement général et technologique la Serre de Sarsan;Lourdes;065;1;43.1069857495, -0.0250796215339
2021;0650040R;Lycée d'enseignement général et technologique la Serre de Sarsan;Lourdes;065;1;43.1069857495, -0.0250796215339
2018;0340030Y;Lycée polyvalent Louis Feuillade;Lunel;034;1;43.6709371975, 4.12241051571
2017;0811144D;Lycée professionnel Hôtelier;Mazamet;081;1;43.5045256663, 2.38351985365
2018;0810033W;Lycée d'enseignement général et technologique Maréchal Soult;Mazamet;081;1;43.502112181, 2.38029004649
