NIVEAU LABEL;COMMUNE;ECOLE;NBR CLASSES;UAI;position
2;FONS;ECOLE ELEMENTAIRE PUBLIQUE;4.0;0300368M;43.90836632518895,4.193970110829808
2;SAINT-MICHEL-D'EUZET;ECOLE PRIMAIRE PUBLIQUE;4.0;0300428C;44.19884574343938,4.547390001448491
2;SAINT-PAULET-DE-CAISSON;ECOLE PRIMAIRE PUBLIQUE;9.0;0300433H;44.26163442427451,4.59684979439586
2;ALES;ECOLE ELEMENTAIRE PUBLIQUE MARIE CURIE;5.0;0301219M;44.124293150509786,4.0907004626739
2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;5.0;0300601R;43.83714045286442,4.350070093998072
2;AIMARGUES;ECOLE ELEMENTAIRE PUBLIQUE FANFONNE GUILLIERME;12.0;0301603E;43.685048762905176,4.211659490825344
2;COLLIAS;ECOLE PRIMAIRE PUBLIQUE GROUPE SCOLAIRE DES TILLEULS;3.0;0301021X;43.953921193860765,4.476496572375287
2;ALES;ECOLE ELEMENTAIRE PUBLIQUE ROMAIN ROLLAND;10.0;0301677K;44.13662491657487,4.090989497414049
2;CONNAUX;ECOLE PRIMAIRE PUBLIQUE GROUPE SCOLAIRE ROBERT TERRAL;9.0;0301191G;44.089894875114716,4.592420334970449
2;AGDE;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;10.0;0340147A;43.311330285441976,3.4739194120969183
2;SAINT-BAUZILLE-DE-PUTOIS;ECOLE PRIMAIRE PUBLIQUE DU THAURAC;10.0;0341814M;43.895587718810624,3.7393100195803464
2;CHASTEL-NOUVEL;ECOLE PRIMAIRE PUBLIQUE;4.0;0480186S;44.55858170296049,3.502100472034462
2;CORNEILLA-DEL-VERCOL;ECOLE ELEMENTAIRE PUBLIQUE;5.0;0660242E;42.62466098590744,2.9515987101252574
3;BAGNOLES;ECOLE ELEMENTAIRE PUBLIQUE;2.0;0110100Z;43.269037105896295,2.4386498711968616
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE VOLTAIRE;8.0;0110426D;43.193468062241365,3.0172900876222766
3;SAINTE-EULALIE;ECOLE ELEMENTAIRE PUBLIQUE L ESTAGNOL;2.0;0110548L;43.246182362071586,2.208819972487918
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LOUIS PASTEUR;10.0;0110432K;43.18580816367599,3.021520011191748
3;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;10.0;0110781P;43.21300273593227,2.3558791287629095
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN-JAURES;11.0;0110434M;43.18371412692766,3.009109443173221
3;BARBAIRA;ECOLE PRIMAIRE PUBLIQUE;4.0;0110833W;43.185523479013995,2.5111802341718334
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;10.0;0110435N;43.184712001822916,2.9971703818260576
3;BLAUZAC;ECOLE PRIMAIRE PUBLIQUE PRE DE VALENCE;4.0;0300274K;43.96477044819533,4.367658574901382
3;SALLES-D'AUDE;ECOLE ELEMENTAIRE PUBLIQUE ANTOINE SIGNOLES;7.0;0110869K;43.236566399586536,3.1208761822767417
3;CHANAC;ECOLE PRIMAIRE PUBLIQUE;6.0;0480177G;44.465966633999464,3.3417395861705566
3;COURSAN;ECOLE ELEMENTAIRE PUBLIQUE RICHARD CHAVERNAC;5.0;0110956E;43.23212965003176,3.05496945245495
3;BOURGS SUR COLAGNE;ECOLE PRIMAIRE PUBLIQUE LE MONASTIER PIN MORIES;5.0;0480213W;44.51580759186503,3.2570296304389763
3;CARNAS;ECOLE ELEMENTAIRE PUBLIQUE;2.0;0300312B;43.824762024494795,3.9791968266665014
3;SAINT-HILAIRE-D'OZILHAN;ECOLE PRIMAIRE PUBLIQUE;6.0;0300730F;43.97104804768153,4.589219727761225
