uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0110420X;3;MOUSSAN;ECOLE ELEMENTAIRE PUBLIQUE;5.0;43.23010479631528;2.950530089632768;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11258;MOUSSAN;public;100.4
0110433L;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LEON BLUM;6.0;43.18346413841896;3.0162005049479887;elementaire;leon blum;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE LEON BLUM;11262;NARBONNE;public;104.2
0300206L;3;LES ANGLES;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;7.0;43.95367961729591;4.773079909052717;elementaire;jules ferry;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JULES FERRY;30011;LES ANGLES;public;119.2
0300371R;3;FOURNES;ECOLE PRIMAIRE PUBLIQUE LES AIRES BLANCHES;5.0;43.92863943800736;4.602159864515072;primaire;les aires blanches;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LES AIRES BLANCHES;30116;FOURNES;public;109.6
0300715P;3;SAINT-GENIES-DE-COMOLAS;ECOLE ELEMENTAIRE PUBLIQUE EDMOND FAURE;6.0;44.06356736361597;4.721670387209432;elementaire;edmond faure;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE EDMOND FAURE;30254;SAINT GENIES DE COMOLAS;public;106.2
0480668R;3;MENDE;ECOLE ELEMENTAIRE PUBLIQUE GROUPE SCOLAIRE JEAN BONIJOL;14.0;44.51893506230408;3.503416568068562;elementaire;groupe scolaire jean bonijol;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE JEAN BONIJOL;48095;MENDE;public;115.4
0110439T;1;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN MACE;8.0;43.194434340912665;3.015820006291486;elementaire;jean mace;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE JEAN MACE;11262;NARBONNE;public;81.5
0110462T;1;OUVEILLAN;ECOLE ELEMENTAIRE PUBLIQUE;6.0;43.28771193777073;2.9665897938772683;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11269;OUVEILLAN;public;96.9
0300161M;1;ALES;ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL;5.0;44.12523887506145;4.081010067929435;elementaire;frederic mistral;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE FREDERIC MISTRAL;30007;ALES;public;90.2
0300389K;1;GAUJAC;ECOLE PRIMAIRE PUBLIQUE;4.0;44.07802183413515;4.577809971948004;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30127;GAUJAC;public;118.9
0301223S;1;UCHAUD;ECOLE ELEMENTAIRE PUBLIQUE DOCTEUR YVES LIOTARD;11.0;43.75940961948732;4.265689528082444;elementaire;docteur yves liotard;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE GROUPE SCOLAIRE DOCTEUR YVES LIOTARD;30333;UCHAUD;public;100.3
